x,y,speed
721,672,4.68187996428785
696,681,4.428443418528808
673,691,4.179978734661485
652,696,3.083861877846129
637,701,2.2587697572631282
626,704,1.6288220358559113
618,707,1.22057196361679
613,709,0.769309258162072
611,710,0.37267799624996495
611,711,0.14285714285714285
612,711,0.14285714285714285
619,712,1.0101525445522108
632,713,1.8626292586293283
644,713,1.7142857142857142
663,715,2.729281882077543
691,716,4.0025502074634
719,719,4.02289366866535
750,723,4.465285602310796
776,728,3.7823435128210647
808,735,4.679525529759771
836,743,4.160062793874582
855,749,2.8464084064530395
870,755,2.307927774486216
880,760,1.5971914124998499
887,763,1.2692955176439848
890,766,0.6060915267313264
892,767,0.31943828249996997
892,769,0.2857142857142857
891,770,0.20203050891044216
886,771,0.7284313590846835
879,775,1.1517511068997928
867,775,1.7142857142857142
855,778,1.7670452681218545
840,779,2.147613768338987
820,780,2.8607120563572552
791,783,4.164965639175215
780,783,1.5714285714285714
764,783,2.2857142857142856
747,782,2.432769480846629
732,775,2.3647064796066926
720,769,1.9166296949998198
712,760,1.720227796970328
707,750,1.5971914124998499
705,735,2.1618208500602223
707,719,2.6874192494328497
714,696,3.4345186514775166
720,684,1.9166296949998198
728,663,3.210315007749176
740,640,3.706034791735099
752,617,3.706034791735099
761,599,2.8749445424997297
781,559,5.5901699437494745
784,554,0.832993127835043
788,547,1.1517511068997928
792,539,1.4907119849998598
793,535,0.5890150893739515
793,533,0.2857142857142857
794,531,0.31943828249996997
794,530,0.14285714285714285
793,527,0.15058465048420855
791,526,0.31943828249996997
788,524,0.6009252125773316
786,523,0.31943828249996997
782,520,0.7142857142857143
776,519,0.8689660757568884
772,515,0.8081220356417687
769,515,0.42857142857142855
765,511,0.8081220356417687
762,510,0.45175395145262565
760,508,0.4040610178208843
757,507,0.45175395145262565
756,507,0.14285714285714285
755,506,0.20203050891044216
755,504,0.2857142857142857
754,504,0.14285714285714285
754,503,0.14285714285714285
754,501,0.3333333333333333
754,499,0.2857142857142857
754,498,0.14285714285714285
754,495,0.42857142857142855
754,493,0.18181818181818182
753,491,0.31943828249996997
752,491,0.14285714285714285
750,489,0.4040610178208843
748,488,0.37267799624996495
745,487,0.45175395145262565
742,485,0.5150787536377127
737,483,0.769309258162072
732,481,0.769309258162072
727,477,1.0671873729054748
722,474,0.832993127835043
717,468,1.1157499537009505
713,463,0.9147320339189784
710,456,1.0879675865519869
708,451,0.8975274678557507
706,443,1.0307764064044151
704,438,0.769309258162072
703,431,1.1785113019775793
702,424,1.0101525445522108
701,420,0.5890150893739515
700,415,0.8498365855987974
700,412,0.375
700,411,0.16666666666666666
700,409,0.2857142857142857
700,408,0.05
700,410,0.06896551724137931
700,411,0.16666666666666666
700,411,0
700,411,0
700,411,0
696,416,0.01773718625327659
673,483,0.1124410206249196
666,482,0.0642824346533225
644,473,2.1608844225463115
634,468,1.5971914124998499
624,464,1.538618516324144
614,459,1.5971914124998499
607,455,1.1517511068997928
601,451,1.0301575072754254
596,447,0.7114582486036498
593,445,0.7211102550927978
591,443,0.4040610178208843
589,443,0.3333333333333333
588,442,0.20203050891044216
588,441,0.03333333333333333
588,440,0.03571428571428571
588,439,0.047619047619047616
588,438,0.05
588,437,0.047619047619047616
588,436,0.16666666666666666
587,435,0.23570226039551587
585,435,0.2857142857142857
585,433,0.2857142857142857
584,431,0.31943828249996997
582,431,0.2857142857142857
580,430,0.31943828249996997
580,429,0.14285714285714285
580,428,0.14285714285714285
579,427,0.20203050891044216
580,427,0.015873015873015872
581,427,0.04
582,428,0.23570226039551587
583,429,0.0831890330807703
584,430,0.20203050891044216
586,432,0.4040610178208843
588,434,0.4040610178208843
590,437,0.5150787536377127
592,440,0.5150787536377127
593,443,0.45175395145262565
596,446,0.6060915267313264
597,448,0.37267799624996495
598,450,0.31943828249996997
599,451,0.20203050891044216
600,452,0.20203050891044216
600,453,0.14285714285714285
600,454,0.1111111111111111
601,455,0.05050762722761054
